Metric,Value,,
Number of Playlists,551,,
Number of Tracks (Total rows),165471,,
Tracks per playlist (Mean),300.31,,
Tracks per playlist (Median),126,,
Tracks per playlist (Max),1000,,
Tracks per playlist (Min),3,,
Playlists with 10 to 50 songs,135,,

Top 50 Tracks (TrackName),Track ID,Artist(s),Count,Playlists Count,Weighted Score
country,9,,
fun,9,,
grieving,8,,
death,8,,
someone,8,,
instrumental,8,,
played,7,,
about,7,,
hymns,7,,
loved,6,,
christian,6,,
para,6,,
dying,6,,
sad,6,,
metal,6,,
home,6,,
new,5,,
died,5,,
gospel,5,,
put,5,,
losing,5,,
2026,5,,
black,5,,
mix,4,,
mom,4,,
quiero,4,,
mourning,4,,
canciones,4,,
heaven,4,,
song,4,,
list,4,,
soundtrack,4,,
want,4,,
spanish,4,,
hospice,4,,
will,4,,

Top 50 Playlist Description Keywords,Count,,
funeral,75,,
songs,58,,
playlist,43,,
x27,36,,
play,24,,
when,21,,
x2f,20,,
quot,20,,
music,19,,
death,19,,
all,14,,
loved,13,,
sad,10,,
one,10,,
loss,10,,
love,10,,
will,10,,
grief,10,,
funerals,10,,
like,10,,
doom,9,,
played,9,,
can,9,,
listen,9,,
just,8,,
mix,8,,
someone,8,,
metal,8,,
have,7,,
lost,7,,
what,7,,
about,7,,
cry,7,,
losing,7,,
life,7,,
out,7,,
service,6,,
some,6,,
que,5,,
who,5,,
ones,5,,
around,5,,
hope,5,,
die,5,,
through,5,,
also,5,,
grieving,5,,
list,5,,
last,5,,
new,5,,
