name,description,ownerV2/__typename,ownerV2/data/__typename,ownerV2/data/name,ownerV2/data/uri,ownerV2/data/username,playlistUrl,uri
Missing Someone in Heaven,,UserResponseWrapper,User,keirajeannine,spotify:user:keirajeannine,keirajeannine,https://open.spotify.com/playlist/2gaIDwG3ubuh0an3ZPXyU9,spotify:playlist:2gaIDwG3ubuh0an3ZPXyU9
coping with grief 🫶🏻🕊️,"for the days you miss them, feel lost, or just need to breathe.      songs to sit with your feelings 🤍",UserResponseWrapper,User,Miranda Parker,spotify:user:1250124705,1250124705,https://open.spotify.com/playlist/1OFKLr7tudHK8FA3WRtHQU,spotify:playlist:1OFKLr7tudHK8FA3WRtHQU
50 Best Modern Funeral Songs,"These contemporary modern funeral songs, often deeply personal and meaningful, can add a touch of warmth, authenticity, and individuality to the commemoration of a life well-lived. | YourMusicCharts.com |",UserResponseWrapper,User,YourMusicCharts,spotify:user:n04htf9g5wsp2zwfma2d7jxjc,n04htf9g5wsp2zwfma2d7jxjc,https://open.spotify.com/playlist/12gDIysIcgE9LdWZeeBwrb,spotify:playlist:12gDIysIcgE9LdWZeeBwrb
Canciones de Funeral Spanish Songs,,UserResponseWrapper,User,Nancyhonorato,spotify:user:4qvzvzyy5eq9zfpe23xss5ykq,4qvzvzyy5eq9zfpe23xss5ykq,https://open.spotify.com/playlist/3519WML1dThPlaPZ52Bo60,spotify:playlist:3519WML1dThPlaPZ52Bo60
Grandpas Funeral songs,,UserResponseWrapper,User,Madi,spotify:user:vqj3627f7gvlzsiv5in575qrm,vqj3627f7gvlzsiv5in575qrm,https://open.spotify.com/playlist/1mPrrvr6ajgdiwM0vBzfpM,spotify:playlist:1mPrrvr6ajgdiwM0vBzfpM
IRISH FUNERAL SONGS,IRISH FUNERAL SONGS (WIDE VARIETY),UserResponseWrapper,User,reecehobsonn,spotify:user:reecehobsonn,reecehobsonn,https://open.spotify.com/playlist/45WKRhHlesV6wP4SSiWFkI,spotify:playlist:45WKRhHlesV6wP4SSiWFkI
Songs for Dad's Funeral,,UserResponseWrapper,User,l_angalich,spotify:user:l_angalich,l_angalich,https://open.spotify.com/playlist/5VL2pEc3GHArY8DW0OclJ1,spotify:playlist:5VL2pEc3GHArY8DW0OclJ1
Mexican Funeral - Spanish ,,UserResponseWrapper,User,fransis06,spotify:user:fransis06,fransis06,https://open.spotify.com/playlist/7lgaSxt4PjBxNzoPhhf4zV,spotify:playlist:7lgaSxt4PjBxNzoPhhf4zV
memorial funeral service songs,,UserResponseWrapper,User,bekyw2,spotify:user:bekyw2,bekyw2,https://open.spotify.com/playlist/6se0DKePWrjgIpIdTpLCyQ,spotify:playlist:6se0DKePWrjgIpIdTpLCyQ
Traditional Hymns for Funerals ,,UserResponseWrapper,User,funhomeguy,spotify:user:funhomeguy,funhomeguy,https://open.spotify.com/playlist/0ZqoYVZMC7JdVaCtvCSMZR,spotify:playlist:0ZqoYVZMC7JdVaCtvCSMZR
Sad songs for funerals 😢💔,,UserResponseWrapper,User,Melanie King,spotify:user:316g55nsfynhycykn6qzcuxpspgq,316g55nsfynhycykn6qzcuxpspgq,https://open.spotify.com/playlist/6ZhDkcDCvT1pq8tsonBpop,spotify:playlist:6ZhDkcDCvT1pq8tsonBpop
Memorial Songs/Songs for Grief,,UserResponseWrapper,User,aims,spotify:user:saidthebutterfly,saidthebutterfly,https://open.spotify.com/playlist/5R8lAZ80vmj95DdboKOECN,spotify:playlist:5R8lAZ80vmj95DdboKOECN
20 best country funeral songs,,UserResponseWrapper,User,Hayls,spotify:user:9k762yu20dvbslfnajbol2uyq,9k762yu20dvbslfnajbol2uyq,https://open.spotify.com/playlist/1iMz1Ju8Iv6x0VBiAoOSPa,spotify:playlist:1iMz1Ju8Iv6x0VBiAoOSPa
Funeral Bagpipes,,UserResponseWrapper,User,cfernandezdowns18,spotify:user:cfernandezdowns18,cfernandezdowns18,https://open.spotify.com/playlist/1umDra5LtHYPJfjXyUxtcN,spotify:playlist:1umDra5LtHYPJfjXyUxtcN
Worst Songs to Play at a Funeral,I&#x27;ll see myself out. (I am the individual responsible for the idea of blasting Thomas and Friends at a funeral and I have no regrets),UserResponseWrapper,User,ChaoticNature,spotify:user:theravensclaws,theravensclaws,https://open.spotify.com/playlist/5SNGCiWnIOnAYDZUC1cPd9,spotify:playlist:5SNGCiWnIOnAYDZUC1cPd9
Instrumental Funeral Music - Songs of Love & Loss,beautiful heartfelt instrumentals for a funeral or wake - or simply if you are missing a loved one.  Music to bring comfort and peace. ,UserResponseWrapper,User,Paul Hankinson Covers,spotify:user:hankinsonmusic,hankinsonmusic,https://open.spotify.com/playlist/3ikWqGIPi5OePHuBkqpOIP,spotify:playlist:3ikWqGIPi5OePHuBkqpOIP
FUNERAL MUSIC FOR BLACK AMERICANS,,UserResponseWrapper,User,montlawn917,spotify:user:31cummc4vgcse6tdw72bi2zqyx4y,31cummc4vgcse6tdw72bi2zqyx4y,https://open.spotify.com/playlist/3DUUrchaHOx8iIZdAkbhRg,spotify:playlist:3DUUrchaHOx8iIZdAkbhRg
Classic Funeral Songs,,UserResponseWrapper,User,niaahughes,spotify:user:niaahughes,niaahughes,https://open.spotify.com/playlist/1RtVPwHYBXoSzJiBWJ8YcW,spotify:playlist:1RtVPwHYBXoSzJiBWJ8YcW
Funeral music⚰️ ,,UserResponseWrapper,User,Daddy.jas913,spotify:user:pickly_unicorn913,pickly_unicorn913,https://open.spotify.com/playlist/2sJHVp8ohL7TThNUE6a1l1,spotify:playlist:2sJHVp8ohL7TThNUE6a1l1
Funeral Doom,"Curated list of Funeral Doom Metal and closely releated music. A playlist of songs, not entire albums. Slow, slower, slowest. Sadly various classic&#x27;s could not be included because they are not on Spotify.",UserResponseWrapper,User,asgorath,spotify:user:asgorath,asgorath,https://open.spotify.com/playlist/4ULAXhmM4sKF3s0twupXFT,spotify:playlist:4ULAXhmM4sKF3s0twupXFT
The Funeral Portrait Mix,"<a href=spotify:playlist:37i9dQZF1EIVbwNwLhDE83>NOTHING MORE</a>, <a href=spotify:playlist:37i9dQZF1EIY6nyMjh4GZz>Dead Eyes</a> and <a href=spotify:playlist:37i9dQZF1EIUpbanbbbXyp>Point North</a>",UserResponseWrapper,User,Spotify,spotify:user:spotify,spotify,https://open.spotify.com/playlist/37i9dQZF1EIZxzi5cxQqt1,spotify:playlist:37i9dQZF1EIZxzi5cxQqt1
i will never relate to a song more than i do to Funeral by Phoebe Bridgers,,UserResponseWrapper,User,liv,spotify:user:oncander12,oncander12,https://open.spotify.com/playlist/0F2CLhgugisZz7SgC6dpLI,spotify:playlist:0F2CLhgugisZz7SgC6dpLI
Funeral Home Music,Music that can be played while at the Funeral Home,UserResponseWrapper,User,Stephanie Powell,spotify:user:spowell9896,spowell9896,https://open.spotify.com/playlist/6qWi88SDrmFhC4R7CRjCmb,spotify:playlist:6qWi88SDrmFhC4R7CRjCmb
BEST OF THE FUNERAL PORTRAIT 🎸,This is THE FUNERAL PORTRAIT  radio hits mixtape &amp; the latest release 2026 mix playlist all songs setlist tour old discography lo mejor de exitos as melhores do il meglio di todas las canciones 9,UserResponseWrapper,User,Best of 🟠 ROCK n METAL 🟢,spotify:user:31vtn23wiu3zbwsluvundhrc646m,31vtn23wiu3zbwsluvundhrc646m,https://open.spotify.com/playlist/4h4p6HNq7H086eJQ8EdHgq,spotify:playlist:4h4p6HNq7H086eJQ8EdHgq
Three Days Grace / I Prevail / Sleep Theory / The Funeral Portrait 2026 Setlist,,UserResponseWrapper,User,Justine Gall,spotify:user:31emxdqhw7il4viocldl7bnvco6y,31emxdqhw7il4viocldl7bnvco6y,https://open.spotify.com/playlist/4dxxbLBZ1Vw3HJXd6mPeM6,spotify:playlist:4dxxbLBZ1Vw3HJXd6mPeM6
Funeral Bell Radio,"With Black Label Society, Damageplan, Corrosion Of Conformity and more",UserResponseWrapper,User,Spotify,spotify:user:spotify,spotify,https://open.spotify.com/playlist/37i9dQZF1E8LyQAKGEJbrp,spotify:playlist:37i9dQZF1E8LyQAKGEJbrp
Funeral wake,,UserResponseWrapper,User,livvvvv_0,spotify:user:livvvvv_0,livvvvv_0,https://open.spotify.com/playlist/7d3OzzcLLjz8LWs6rRC3ps,spotify:playlist:7d3OzzcLLjz8LWs6rRC3ps
Rip grandpa🕊️💔,,UserResponseWrapper,User,Jack fayle,spotify:user:31fgbvxfj42ym3fcveysi3oqvswi,31fgbvxfj42ym3fcveysi3oqvswi,https://open.spotify.com/playlist/0l6Gb2zVI8cczHzbCNoMH8,spotify:playlist:0l6Gb2zVI8cczHzbCNoMH8
Play This At My Funeral Radio,"With Nino Paid, Rockout Danny, Luhh Dyl and more",UserResponseWrapper,User,Spotify,spotify:user:spotify,spotify,https://open.spotify.com/playlist/37i9dQZF1E8NUAmRpvkZgf,spotify:playlist:37i9dQZF1E8NUAmRpvkZgf
Funeral Radio,"With Mac Miller, Isaiah Rashad, Earl Sweatshirt and more",UserResponseWrapper,User,Spotify,spotify:user:spotify,spotify,https://open.spotify.com/playlist/37i9dQZF1E8LM4i0zhJncL,spotify:playlist:37i9dQZF1E8LM4i0zhJncL
Funeral songs A tribute to all those we love that passed away. Family or friends. It doesnt matter.,,UserResponseWrapper,User,Jessicaroyston,spotify:user:kemu03fbuurb67q1oq1cb8fce,kemu03fbuurb67q1oq1cb8fce,https://open.spotify.com/playlist/5stpOGxscHQ5A3ngGJeUZt,spotify:playlist:5stpOGxscHQ5A3ngGJeUZt
Old country funeral songs,,UserResponseWrapper,User,Caleb Hull,spotify:user:31ezyzfdl2df7t74rsryxki56rpm,31ezyzfdl2df7t74rsryxki56rpm,https://open.spotify.com/playlist/4tIgeJV7Lc8fXA1tf5TPav,spotify:playlist:4tIgeJV7Lc8fXA1tf5TPav
Songs for Mom's Funeral Service,,UserResponseWrapper,User,Dawn VanOs Bastien,spotify:user:22v2trph3yfzel7gozz3b5rii,22v2trph3yfzel7gozz3b5rii,https://open.spotify.com/playlist/78PbHmmJksx2SOnGAH5tzh,spotify:playlist:78PbHmmJksx2SOnGAH5tzh
Funeral Bagpipes,,UserResponseWrapper,User,madameinsano,spotify:user:madameinsano,madameinsano,https://open.spotify.com/playlist/3Ylw83ZRSN6yvrswxNH5y0,spotify:playlist:3Ylw83ZRSN6yvrswxNH5y0
Rap Funeral Songs,,UserResponseWrapper,User,kendellyou,spotify:user:kendellyou,kendellyou,https://open.spotify.com/playlist/64v73f9SYWOqyFdW1NzR5C,spotify:playlist:64v73f9SYWOqyFdW1NzR5C
black gospel funeral songs,,UserResponseWrapper,User,Lisa Robinson Artis-Billups,spotify:user:21dhsmsdeet5pf7rli4klr2vq,21dhsmsdeet5pf7rli4klr2vq,https://open.spotify.com/playlist/4gSTXm008lv8e8oI2bYh3g,spotify:playlist:4gSTXm008lv8e8oI2bYh3g
Sad military funeral songs,,UserResponseWrapper,User,charlie,spotify:user:eiiob4s1sfh0l87ekbf7sygdo,eiiob4s1sfh0l87ekbf7sygdo,https://open.spotify.com/playlist/0SS3mp0kGIxnX9hycOOMZ0,spotify:playlist:0SS3mp0kGIxnX9hycOOMZ0
Gospel Songs for Funeral,,UserResponseWrapper,User,Kimmie Trini Gal,spotify:user:t5o3j39dml9iyxvdtobolrz9z,t5o3j39dml9iyxvdtobolrz9z,https://open.spotify.com/playlist/2petTxMWHfF6QIGjM7FkxJ,spotify:playlist:2petTxMWHfF6QIGjM7FkxJ
funny funeral songs,,UserResponseWrapper,User,LexiLovegood,spotify:user:p547tj9faqsn9brfrp51fqmoo,p547tj9faqsn9brfrp51fqmoo,https://open.spotify.com/playlist/4r6ytZCzGjxvm1UMCt2pAH,spotify:playlist:4r6ytZCzGjxvm1UMCt2pAH
no mourners? no funerals. ,"for you, i would fall from grace, just to see your face, if you walked away, i’d beg you on my knees to stay -dbm &lt;3",UserResponseWrapper,User,sarah :),spotify:user:g8lg5jmz4pyxe43gshj623hxl,g8lg5jmz4pyxe43gshj623hxl,https://open.spotify.com/playlist/74UmqVtwsRklv1jxtWubzu,spotify:playlist:74UmqVtwsRklv1jxtWubzu
Uplifting funeral songs,,UserResponseWrapper,User,fandbwallace,spotify:user:fandbwallace,fandbwallace,https://open.spotify.com/playlist/3Jpk3FDeIMCk1gSz3SL5sO,spotify:playlist:3Jpk3FDeIMCk1gSz3SL5sO
Uplifting Happy Funeral,,UserResponseWrapper,User,Jessica House,spotify:user:1264139266,1264139266,https://open.spotify.com/playlist/4bKA2WvZokdxma4fDdr2uE,spotify:playlist:4bKA2WvZokdxma4fDdr2uE
Black Church Gospel Funeral,,UserResponseWrapper,User,Nik.Marie.Alex,spotify:user:nicole.ma1991,nicole.ma1991,https://open.spotify.com/playlist/47yxljS3HR7QglTScMpbde,spotify:playlist:47yxljS3HR7QglTScMpbde
Funeral Rock Songs,,UserResponseWrapper,User,Santos Nadyne,spotify:user:31xrvu6cgvfdfhqs3pnxiws6sfsu,31xrvu6cgvfdfhqs3pnxiws6sfsu,https://open.spotify.com/playlist/3sf8ud5qoKeEw1WSSFmQgm,spotify:playlist:3sf8ud5qoKeEw1WSSFmQgm
funeral on repeat,,UserResponseWrapper,User,m⭑ry,spotify:user:31uuswemyqsda36mow7vfoup5k6e,31uuswemyqsda36mow7vfoup5k6e,https://open.spotify.com/playlist/5yNflnB4Lcj3BzNGlZMufD,spotify:playlist:5yNflnB4Lcj3BzNGlZMufD
Funeral Music Classical,,UserResponseWrapper,User,Huw Parkman,spotify:user:huwparkman,huwparkman,https://open.spotify.com/playlist/2bRCcH3b711etpDVkEZ5n0,spotify:playlist:2bRCcH3b711etpDVkEZ5n0
Peaceful Piano for Funeral Home,,UserResponseWrapper,User,Austin,spotify:user:imxc9jlcqkkt5j5mzxpiffek8,imxc9jlcqkkt5j5mzxpiffek8,https://open.spotify.com/playlist/2Z01EGwF3NJ5PbvVfIysUV,spotify:playlist:2Z01EGwF3NJ5PbvVfIysUV
Funeral For A Friend Radio,"With Madina Lake, From Autumn To Ashes, Thursday and more",UserResponseWrapper,User,Spotify,spotify:user:spotify,spotify,https://open.spotify.com/playlist/37i9dQZF1E4jQFJm1wHlhS,spotify:playlist:37i9dQZF1E4jQFJm1wHlhS
Funeral Doom Metal,"For that autumn day, loads of albums from various funeral doom metal bands. \m&#x2F;",UserResponseWrapper,User,Godrik,spotify:user:rikardjo,rikardjo,https://open.spotify.com/playlist/7fybYnZiJ6da88GOmA5V2y,spotify:playlist:7fybYnZiJ6da88GOmA5V2y
Funeral For A Friend Mix,"<a href=spotify:playlist:37i9dQZF1EIUQXrvoctBP5>Dead Poetic</a>, <a href=spotify:playlist:37i9dQZF1EIYLKarbFk8PA>Thursday</a> and <a href=spotify:playlist:37i9dQZF1EIYLqNl5VbOWo>Madina Lake</a>",UserResponseWrapper,User,Spotify,spotify:user:spotify,spotify,https://open.spotify.com/playlist/37i9dQZF1EIVX3kRSARD1Z,spotify:playlist:37i9dQZF1EIVX3kRSARD1Z
Funeral,,UserResponseWrapper,User,Nicolas Bustos,spotify:user:31g3f2ul5grnctvs6v3tkb6tauyi,31g3f2ul5grnctvs6v3tkb6tauyi,https://open.spotify.com/playlist/2EGSaBuNHzfsXYVhBpEQ2J,spotify:playlist:2EGSaBuNHzfsXYVhBpEQ2J
funeral,,UserResponseWrapper,User,Lindy Bosman,spotify:user:7mfk37bq219a3tvyrekphyuye,7mfk37bq219a3tvyrekphyuye,https://open.spotify.com/playlist/4KozL0Y4tGVHJz0JsqQ2IV,spotify:playlist:4KozL0Y4tGVHJz0JsqQ2IV
Funeral,,UserResponseWrapper,User,dilu,spotify:user:31i5wcu5g4z4k7kakib3lzm5he6m,31i5wcu5g4z4k7kakib3lzm5he6m,https://open.spotify.com/playlist/0IIXHl6n4wPmsSGmdVYFz2,spotify:playlist:0IIXHl6n4wPmsSGmdVYFz2
3 Days Grace / I Prevail / The Funeral Portrait 2026 tour setlist,2026 tour set list from Fort Wayne IN,UserResponseWrapper,User,Eric,spotify:user:31dov6fetqpbbmas4m7zvyhrzhom,31dov6fetqpbbmas4m7zvyhrzhom,https://open.spotify.com/playlist/3KgvBCMdtyvvjCnAQ4Kg1l,spotify:playlist:3KgvBCMdtyvvjCnAQ4Kg1l
Funeral 🪦,,UserResponseWrapper,User,Sydney,spotify:user:3h4xzh43yp12rh4o84w1pymd1,3h4xzh43yp12rh4o84w1pymd1,https://open.spotify.com/playlist/3KAFGWJbDnYSBCMQ5atbCk,spotify:playlist:3KAFGWJbDnYSBCMQ5atbCk
Put the fun in funeral ,When being normal isn’t for you,UserResponseWrapper,User,Lucky,spotify:user:31bmlwe6hcibvisnwjvydss6ltg4,31bmlwe6hcibvisnwjvydss6ltg4,https://open.spotify.com/playlist/61MFq4sQk7Ee5WFOHUJQJn,spotify:playlist:61MFq4sQk7Ee5WFOHUJQJn
Putting the “fun” in funeral🤍,,UserResponseWrapper,User,RARA💋,spotify:user:31fjd6wduaqybd32rq3hot5j7paa,31fjd6wduaqybd32rq3hot5j7paa,https://open.spotify.com/playlist/2GozUkyvaUXmnJVybUISji,spotify:playlist:2GozUkyvaUXmnJVybUISji
Funeral home,,UserResponseWrapper,User,Fanny Brisebois,spotify:user:phoria1,phoria1,https://open.spotify.com/playlist/0aWG4OARUv2Vajpv46MPc3,spotify:playlist:0aWG4OARUv2Vajpv46MPc3
At Your Funeral Radio,"With Saves The Day, Brand New, The Movielife and more",UserResponseWrapper,User,Spotify,spotify:user:spotify,spotify,https://open.spotify.com/playlist/37i9dQZF1E8OEQew5JryLA,spotify:playlist:37i9dQZF1E8OEQew5JryLA
quiet classical background music,I originally put this list together for my mom&#x27;s funeral open house&#x2F;viewing. It includes some of her favorites as well as some other family favorites.,UserResponseWrapper,User,peprogfan,spotify:user:peprogfan,peprogfan,https://open.spotify.com/playlist/1vFCBJ1C6ngafDTmNEbMmW,spotify:playlist:1vFCBJ1C6ngafDTmNEbMmW
Mexican funerals songs,,UserResponseWrapper,User,Spooky.Momma66,spotify:user:31adq7xswrmrqxhamnyzoxutnwxy,31adq7xswrmrqxhamnyzoxutnwxy,https://open.spotify.com/playlist/78Rwg3baHJKQTGzT71uFTg,spotify:playlist:78Rwg3baHJKQTGzT71uFTg
