playlist_id,name,description,owner_name,owner_id,owner_image,playlistUrl,uri,followers,totalTracks
5NmFAutVpM4I883e55SJre,PLAY AT MY FUNERAL BANGERS ,play at my funeral playlist but only the bangers qualify for this new album ,Liam Drake,217rxym5v32gmrbb7xqywgcgq,https://i.scdn.co/image/ab6775700000ee855d90ea1e46a6de6d3ba166f9,https://open.spotify.com/playlist/5NmFAutVpM4I883e55SJre,spotify:playlist:5NmFAutVpM4I883e55SJre,,409
0idNW1d2eC2KWewvG0wzXw,Play this at my funeral ,,Element Fractal,kerchow56789,https://i.scdn.co/image/ab6775700000ee85786748759625491576319efd,https://open.spotify.com/playlist/0idNW1d2eC2KWewvG0wzXw,spotify:playlist:0idNW1d2eC2KWewvG0wzXw,,567
3CsJaiYjOSuuH9c28LFOmu,The Funeral,,weirdcore,31mbhn2ui56szztmneays4zdwwn4,https://i.scdn.co/image/ab6775700000ee852a45f3f8d135313123e3726d,https://open.spotify.com/playlist/3CsJaiYjOSuuH9c28LFOmu,spotify:playlist:3CsJaiYjOSuuH9c28LFOmu,,23
2D33XmdOEkmjGEePWiI0PO,play ts at my funeral,,Djw1211,mju5ujo0fiwwbodhuepgegprg,https://i.scdn.co/image/ab6775700000ee85cd65a79ed133f12ba43d9745,https://open.spotify.com/playlist/2D33XmdOEkmjGEePWiI0PO,spotify:playlist:2D33XmdOEkmjGEePWiI0PO,,324
3EILj7rgApLVmelGK2bwJf,Funeral songs,,andy/kate lovestuff,ile7s3zs108ss0rdxsmjfqi7k,,https://open.spotify.com/playlist/3EILj7rgApLVmelGK2bwJf,spotify:playlist:3EILj7rgApLVmelGK2bwJf,,238
4pKenzaNyrJ87iszcIEjRl,My FUNeral,,Xina,l1lt41c808m0ntswhvqrsli3y,https://i.scdn.co/image/ab6775700000ee8513a8229ef589a09d0df2dd3c,https://open.spotify.com/playlist/4pKenzaNyrJ87iszcIEjRl,spotify:playlist:4pKenzaNyrJ87iszcIEjRl,,362
0J5BAGFhBQtj8uJbqMjLNM,Songs to play at my funeral,,Mark Sullivan,12172045452,https://platform-lookaside.fbsbx.com/platform/profilepic/?asid=10206079626695622&height=300&width=300&ext=1776553279&hash=AT_Ap85I7T9vENg1PMqJ3x0Q,https://open.spotify.com/playlist/0J5BAGFhBQtj8uJbqMjLNM,spotify:playlist:0J5BAGFhBQtj8uJbqMjLNM,,53
3HtVOMj1FZbdkdl0ruSa38,Songs for my funeral,,Audrey,31va6q3ckmhqjtr6vmr6tkn6e7ee,,https://open.spotify.com/playlist/3HtVOMj1FZbdkdl0ruSa38,spotify:playlist:3HtVOMj1FZbdkdl0ruSa38,,247
4sdMnnI2bIDAfHzZQzOaaD,Thomas’s funeral playlist,,squeeeege,squeeeege,,https://open.spotify.com/playlist/4sdMnnI2bIDAfHzZQzOaaD,spotify:playlist:4sdMnnI2bIDAfHzZQzOaaD,,148
4rsRvXlyLbgiaUvST1LNBj,Play at funeral pt.2,,Codymitch,u80owibv3mn602ligs44768ez,https://i.scdn.co/image/ab6775700000ee857a87806b6ecd159e1676e230,https://open.spotify.com/playlist/4rsRvXlyLbgiaUvST1LNBj,spotify:playlist:4rsRvXlyLbgiaUvST1LNBj,,234
